"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","First Playwright test","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","5403","@Api should place an order","","2026-05-18","passed","2026-05-18","","api\01-web-api-1.spec.js","",""
"","9791","should show error message, blank the fill and login succesfully","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","5438","should show error message when incorrect user info","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","738","should verify the title is shown","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","10332","should login and do checkout workflow","","2026-05-18","passed","2026-05-18","","ts\pom-ts\11-Parameterize-Fixture-POM-test.spec.ts","",""
"","10488","should show login and grab all cards text","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","1010","should check the browser context","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","7501","should login correctly","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","11820","should login and find the element","","2026-05-18","failed","2026-05-18","","ts\pom-ts\08-POM-test.spec.ts","",""
"","9188","should login, select product, order and verify the order for andhre1@test.com","","2026-05-18","passed","2026-05-18","","ts\pom-ts\10-Parameterize-POM-test.spec.ts","",""
"","5","should first","","2026-05-18","passed","2026-05-18","","ui\01-UIBasics-test.spec.js","",""
"","11737","should login, select product, order and verify the order for andhre2@test.com","","2026-05-18","failed","2026-05-18","","ts\pom-ts\10-Parameterize-POM-test.spec.ts","",""
"","11634","should login and find the element","","2026-05-18","failed","2026-05-18","","ts\pom-ts\09-DDT-POM-test.spec.ts","",""
